DATA;corrente_neutro;corrente_f1;corrente_f2;corrente_f3;tensao_f1;tensao_f2;tensao_f3
23/03/2022 08:30;;;;;;;
23/03/2022 08:30;6.92;2.74;2.08;2.1;253.8;253.5;253.5
23/03/2022 08:30;;;;;;;
23/03/2022 08:29;;;;;;;
23/03/2022 08:29;6.82;2.68;2.09;2.05;254.4;254.1;254.2
23/03/2022 08:29;;;;;;;
23/03/2022 08:28;;;;;;;
23/03/2022 08:28;6.49;2.58;1.95;1.96;253.8;253.6;253.5
23/03/2022 08:28;;;;;;;
23/03/2022 08:27;9.25;4.04;3.27;1.95;254.1;254.1;254.1
23/03/2022 08:27;;;;;;;
23/03/2022 08:27;;;;;;;
23/03/2022 08:26;9.43;4.1;3.34;2.0;254.6;254.6;254.6
23/03/2022 08:26;;;;;;;
23/03/2022 08:26;;;;;;;
23/03/2022 08:25;9.26;3.97;3.31;1.98;253.9;253.6;253.2
23/03/2022 08:25;;;;;;;
23/03/2022 08:24;;;;;;;
23/03/2022 08:24;9.39;4.06;3.3;2.03;253.4;253.0;252.9
23/03/2022 08:24;;;;;;;
23/03/2022 08:23;;;;;;;
23/03/2022 08:23;9.46;4.12;3.26;2.09;253.3;253.0;253.5
23/03/2022 08:23;;;;;;;
23/03/2022 08:22;;;;;;;
23/03/2022 08:22;9.35;4.06;3.26;2.03;252.5;252.3;252.6
23/03/2022 08:22;9.17;4.02;3.24;1.91;252.8;252.7;252.7
23/03/2022 08:22;;;;;;;
23/03/2022 08:21;;;;;;;
23/03/2022 08:21;9.4;4.1;3.3;2.01;252.5;252.3;252.4
23/03/2022 08:21;;;;;;;
23/03/2022 08:20;9.37;4.09;3.25;2.03;252.3;252.0;252.1
23/03/2022 08:20;9.22;4.03;3.21;1.98;252.4;252.3;252.6
23/03/2022 08:20;;;;;;;
23/03/2022 08:20;;;;;;;
23/03/2022 08:19;9.35;4.07;3.26;2.02;252.4;252.2;252.2
23/03/2022 08:19;;;;;;;
23/03/2022 08:19;;;;;;;
23/03/2022 08:18;;;;;;;
23/03/2022 08:17;9.28;4.06;3.27;1.95;252.4;252.2;252.4
23/03/2022 08:17;;;;;;;
23/03/2022 08:17;;;;;;;
23/03/2022 08:16;9.23;4.04;3.23;1.96;252.0;251.7;252.0
23/03/2022 08:16;;;;;;;
23/03/2022 08:16;;;;;;;
23/03/2022 08:15;9.59;4.17;3.38;2.04;252.2;251.7;251.6
23/03/2022 08:15;9.24;4.02;3.24;1.98;252.4;252.2;252.1
23/03/2022 08:15;;;;;;;
23/03/2022 08:15;;;;;;;
